Kata
bahimiah
baik
baik-baik
bain
baka
bakero
bakh
bakhil
bakup
balar
balig
balistik
balut-balut
bambang
banal
banang
bancar
banci
bancuh
bandang
bandel
bangai
bangga
bangir
bangkar
bangkas
bangkot
bangkotan
bangkut
banglas
bangor
bangpak
bangsai
bantau
banter
banyak
banyak-banyak
banyol
baplang
barbar
baru
basah
basau
basi
basilari
basir
bata-bata
batal
batangan
bati
bawel
bayak
bebas
bebel
bebuyutan
becek
becus
bedebah
bedegap
bedegong
begana-begini
begandering
begap
bego
beken
beku
belalah
belalak
belandung
belantara
belecak
belel
belengkok
belengkong
belengset
beleter
belia
belimbing
belingsat
belobor
belodok
beloh
belok
belon
beloon
belu-belai
belus
beluwek
benar
benar-benar
bencat
bencong
bendawi
benefaktif
bengah
bengal
bengang
bengang-bengut
bengap
bengek
benggal
benggang
benggil
benggol
bengis
bengkah
bengkak
bengkal-bengkil
bengkang-bengkok
bengkang-bengkong
bengkang-bengkung
bengkeng
bengkerap
bengkil
bengkong
bengkung
bengot
benguk
bengung
bening
benjol
benjut
bentan
bentar
bentong
benyai
benyek
benyot
bera
berak
berandang
beraneka
beraneka ragam
berang
berangsang
berangsangan
berani
berani-berani
berapi-api
berat
berbahagia
berbahasa-bahasa
berbangga
berbatuan
berbidai-bidai
bercabiran
bercamping-camping
bercuang-caing
berdegap
berduri-duri
berdus
berempak
berenggan-enggan
berengsek
bergajul
bergas
bergemal-gemal
bergemuruh
bergenggam
bergerigi
bergontai
bergores
bergores-gores
bergosong
bergulut-gulut
berida
beringas
beringsang
beristibdad
berjendul
berjumbai-jumbai
berjuntaian
berkaca-kaca
berkepanjangan
berketi-keti
berkilauan
berlama-lama
berlangau
berlapang-lapang
berlapar
berlebih-lebih
berlebihan
berlimpit-limpit
berlutu
bermacam
bermacam-macam
bermekaran
bernas
berong
berpada-pada
berpangkat-pangkat
berpanjang-panjang
berpenyakitan
berprihatin
bersaf-saf
bersembunyi-sembunyi
bersempuras
berserak-serak
berseran
bersesat
bersibaran
bersih
bersilutu
bersinau-sinau
bersuaian
bersut
berusuh
besar
besar-besaran
beser
beset
betah
betak-betak
betas
betul-betul
biadab
biadat
biang-biang
biasa
bienial
bigami
bijak
bijaksana
bikonkaf
bikonveks
bilabial
bilateral
bilineal
bilingual
bilis
bimbang
binal
binasa
bincacak
bindam
bineka
binen
biner
bingas
bingit
bingung
biogenik
biologis
birang
birokratis
biseksual
bising
bisu
biut
blangko
blirik
blong
bobol
bobos
bobrok
bodoh
bogel
bogot
bohong
bois
bokek
bokoh
bokop
bolehan
bolong
bombastis
bonafide
bongak
bongkar-bangkir
bongok
bongsor
bonyok
bopeng
bopok
boros
bosan
bosor
botak
botanis
boyak
boyas
brakisefalik
brakiurus
brilian
brutal
buani
buar
buas
bubung
budek
bugar
bugil
bujal
bujut
bukan-bukan
bukat
bulat
buluk
bulukan
bulus
bumbun
bumiah
bumpet
buncah
buncang
buncit
bundar
bundas
bungar
bungkam
bungkang
bungkas
bungking
bungkuk
buntak
buntal
buntang
buntar
buntek
buntung
buram
burik
buruk
busik
busuk
busung
buta
butek
butut
caba
cabar
cabik
cabik-cabik
cabir
cabul
cabur
cacak
cacau
cacil
cadel
caem
cahang
cahar
caing
caing-caing
cair
cakah
cakap
cakep
calak
calar-balar
calui
campah
campang-camping
campin
camping
candala
candramawa
canggih
canggung
cangkat
cangkih
cangut
cantas
cantik
capang
capek
capik
capuk
casciscus
cebol
ceding
cegak
cekah
cekal
cekat
cekdel
cekuk
celekeh
celemotan
celengkak-celengkok
celi
celih
celomes
celomok
celonok
celopar
celung
celus
cemas
cemberut
cembung
cemeh
cemer
cemerlang
cemomot
cemong
cempreng
cemuas
cenal-cenil
cendekia
cenderung
cengang
cengeng
cengis-cengis
cengkar
cengkek
cengki
cengkok
cengkol
cengkong
cengkung
cengli
centang
centil
cenung
ceper
ceples
cepo
cerabah
cerah
cerai-berai
cerap
cerdas
cerdik
cerewet
cergas
ceria
ceriwis
cermat
cerna
ceroboh
ceronggah
cerucup
ceruh
cerun
cespleng
cetai
cialat
cilik
cinta
ciut
cobar-cabir
cogok
colang-caling
comel
comor
comot
comot-comot
compang-camping
compeng
compes
condong
condong-mondong
congak
congeh
congget
conggok
congkah-cangkih
congkah-mangkih
congkak
copak-capik
corak-carik
coreng-moreng
crat-crit
cua
cuai
cuar
cuek
cukup
cukupan
culas
cumil
cupar
cupul
curam
curang
dahaga
dahsyat
daif
dakar
dalam
damat
damba
damping
dangkal
dangkar
datar
dauk
dedai
dedara
dedel
dedikatif
defensif
definitif
deformatif
degil
deiktis
dekaden
dekat
deklaratif
dekoratif
delikat
delinkuen
delong
deltoid
delusif
demagogis
demam
demap
demen
demes
demografis
demokratis
demonstratif
dempak
dempet
demplon
dendam
dengkel
dengki
denok
denominal
denotatif
dentat
departemental
dependen
derana
deras
derivatif
derman
dermoid
deskriptif
despotik
destruktif
determinatif
deverbal
dewasa
diagonal
diakronis
dialektal
dialektis
dialogis
diametral
diaterman
diatermik
diatonik
dibasa
didaktis
diferensial
digdaya
digital
dihedral
dikit
dikromatik
diktatoris
dilematik
diminutif
dimorfik
dinamik
dingin
dingkit
dini
diploid
diplomatik
diplomatis
direk
dirgahayu
disagio
disilabik
disinsentif
diskoid
diskontinu
diskriminatif
diskursif
dispareunia
distal
distingtif
dito
diurnal
divergen
dobel
dodor
dogel
dogmatis
dogol
dokumenter
dolikosepalik
domestik
dominan
domot
dongkol
dorman
dorsal
dower
doyan
doyong
dramatik
dramatis
drastis
dualistis
dubius
dugal
dugdeng
duka
dungkul
dungu
duniawi
dupleks
duratif
durhaka
durkarsa
durnois
durnoisme
dursila
dusta
dwiganda
ecek
eco
edan
edentat
edukatif
egalitarian
egaliter
egoistis
egresif
eidetik
ejektif
ekabahasa
ekdemik
eklektik
ekliptis
ekonomis
eksak
eksekutif
eksesif
eksklusif
eksobiotik
eksoergik
eksogam
eksotermik
eksotik
eksotis
ekspansif
ekspansionistis
eksperimental
eksplisit
eksploratif
eksplosif
eksponensial
ekspres
ekspresif
ekstensif
ekstern
eksternal
ekstrakardial
ekstraktif
ekstrakurikuler
ekstramarital
ekstraseluler
ekstraterestrial
ekstrauterin
ekstrem
ekstrinsik
ektotermik
ekuivalen
ekumenis
elastis
elegan
elektris
elektromagnetik
elektronegatif
elektronis
elektropositif
elementer
eleng
eliptis
elitis
elok
eluvial
embal
embrionik
emeritus
eminen
emosional
emotif
empiris
empot
empuk
enak
encer
endemis
endogen
endokrin
endosentris
endotermal
endotermis
endut-endutan
enek
energetik
energik
enggan-enggan
ensefalitogen
ensiform
ensiklopedis
entah-berentah
enteng
enzootik
epileptik
episiklik
episkopal
epitermal
epizoik
epizootik
erak
erat
erat-erat
ereng
ergonomis
erot
erotis
eskatologis
estetik
estetis
estuarin
etimologis
etis
etnik
etnis
etnografis
etnologis
eufemistis
euploid
eurihalin
eurosentris
eusinantropus
eutektik
evaluatif
eviden
evokatif
evolusioner
faali
faktual
fakultatif
familier
fana
fanatik
fani
faringal
farmakologis
fasih
fatal
fatala
fatanah
faunistik
federal
federalistis
feminin
fenomenal
feodal
feodalistis
feral
fertil
fibrokistik
figuratif
fikli
fiktif
filatelik
filmis
filologis
filosofis
finansial
firauniah
firdausi
fisiognomis
fisiologis
fisis
fiskal
fit
fitofag
flegmatis
fleksibel
fluktuatif
fluoresen
fonemis
fonetis
fonis
fonologis
formal
formalistis
forte
fotogenik
fotografis
fotokromik
fototropis
fragmentaris
frekuen
frekuentatif
frigid
frontal
fundamental
fundamentalistis
fungibel
fungistatik
fungoid
fungsional
futuristik
futuristis
futurologis
gabas
gabuk
gaek
gagah
gagu
gaguk
galaba(h)
galak
galan
galau
galgal
galib
galir
gamak
gamam
gamang
gamblang
gamopetal
gampang
gampang-gampangan
gampangan
ganar
ganas
gancang
gandes
gandrung
gangsar
gani
ganjat
ganjil
ganoid
ganteng
ganyut
gapah
gapil
garang
garau
garib
garing
gasal
gasang
gastrointestinal
gatal
gawat
gayal
gayang
gayat
geblek
gebyar-gebyar
gecer
gecul
gede
gedembal
gedempol
gegadan
gegai
gegap
gegar
geger
gejah
geladrah
gelagap
gelap
gelatak
geleber
gelepai
gelepot
gelibir
gelimbir
gelimbiran
gelinggaman
gelintin
gelisah
gelita
gelojoh
gelumat
gemang
gemar
gemawan
gembeng
gembira
gembos
gembul
gembur
gemebyar
gemerlap
gemerlapan
gemilang
gemilap
gemirang
gempar
gempita
gempor
gemuk
gemulai
gemulung
gemuntur
gemuruh
genap
gencar
gencat
gendut
genealogis
generatif
generik
genial
genit
genital
genitif
genius
genjah
genjang
genjang-genjot
gentas
gentat
genting
genyot
geofisis
geografis
geometris
geosentris
geostasioner
geotermal
gepeng
gerabang
gerah
geram
geregetan
gerejani
gerejawi
gerek
gerenik
gerenyau
gerenyot
gerigis
geringging
geripis
gerlap
gerlip
germang
germinal
gerowong
gersang
gerugut
geruh
geruh-gerah
gerumpung
gerun
getas
getir
getis
geulis
gial
giat
gidik
giga-
gigih
gigis
gila
gila-gila
gilang
gilap
gilap-gemilap
gimbal
ginding
gingsul
girah
girang
girap-girap
global
gobar
goblok
gogoh
gogos
gombrang
gombroh
gompal
gompiok
gondok
gondrong
gonjing
gonjong
gontai
gopoh
goyah
gradual
grafemis
grafis
gramatikal
gratak
gratis
gres
grip
grogi
gugup
gulana
gulita
gulut
gumal
guncang
gundul
gunolugu
guntung
guram
gurih
guyub
habis-habis
habluk
hak
hakiki
hakimah
halai-balai
halal
halim
halimunan
halus
hambar
hamik
hampa
hana
hancur luluh
hancur-hancuran
handaruan
hangat
hangit
harak
harbi
harfiah
harmonis
harum
haus
hebat
hebring
hegemonik
helat
hemat
hening
heran
herediter
hermetis
heroik
heterodoks
heterogen
heteroseksual
heterosiklis
heterotrof
hewani
hialin
hibridis
hidraulis
hidrostatis
hidrotermal
hierarkis
higienis
higroskopis
hijriah
hilofagus
hina
hina dina
hiperaktif
hiperbolis
hiperkorek
hiperkritis
hiperseksual
hipersensitif
hipersonik
hipertonik
hipertradisional
hipnotis
hipogen
hipokrit
hipokritis
hipomastia
hipotetis
hipotiroid
hipotonik
hiruk
histeris
historis
hit
hitam putih
holokrin
holozoik
hominoid
homogen
homoiotermal
homorgan
homoseksual
homoterm
honorer
honorifik
hormat
hot
hubar-habir
huji
human
humanistis
humaniter
humoristis
hura-hura
iba
idealistis
identik
ideografis
idiil
idiomatis
idrak
igau-igauan
ikhlas
ikhtiari
ikonis
iktidal
ilam-ilam
ilegal
ilmiah
ilu
ilusif
ilustratif
imajinatif
imajiner
imanen
imani
imbak
imbal
imbang
imbang-imbangan
imbesil
imitatif
imperatif
imperfek
imperial
impersonal
impoten
impresif
impulsif
imun
imunologis
imut-imut
inartikulat
inca
inca-binca
incang-incut
incut
indah
indikatif
indisipliner
individual
individualistis
indolen
indriawi
inferensial
inferior
infertil
infiradi
inflatoar
infleksibel
informal
informatif
infrasonik
ingar
inggang-inggung
inggung
inklusif
inkognito
inkompeten
inkonfeso
inkonsisten
inkonstitusional
inkonvensional
inkremental
insaf
insani
insinuatif
insolven
instan
instingtif
institusional
instruksional
instruktif
instrumental
insuler
integral
integralistik
intelektual
inteligen
intens
intensif
intensional
interaksionistik
interaktif
interdepartemental
interdependen
interesan
interetnik
interglasial
interinsuler
interkonsonantal
interkontinental
interlokal
intermolekuler
intern
internasional
interogatif
interpretatif
intertestial
interzona
intim
intoleran
intradermal
intrakalimat
intralinguistis
intramolekul
intramuskuler
intransitif
intraseluler
intrauniversiter
intravaskuler
intravena
intrinsik
introver
intuitif
invalid
inventif
investigatif
ipis
iram
irasional
iri
irit
iritatif
iseng
isentropik
isis
islami
islamiah
islamis
isobarik
isodinamik
isokemi
isokorik
isolatif
isomorfis
isopiestik
isotermal
istan
istiazah
istimewa
istiwa
isytiak
item
jabir
jabrik
jagur
jahanam
jahar
jahat
jahil
jahiriah
jail
jais
jaiz
jalang
jalil
jamak
jambon
janat
jangak
janggal
jangkung
jap
jarang
jarang-jarang
jarotan
jasadi
jasmaniah
jati
jatmika
jauh
jaya
jebab
jebah
jeblok
jeblos
jegang
jejal
jelabir
jelah
jelak
jelas
jelata
jelek
jeli
jelita
jeluk
jembar
jembel
jempolan
jemu
jemuas
jenaka
jendal
jendala
jendera
jendul
jeneng
jenggar
jenggul
jengkel
jengkot
jenjam
jentaka
jenuh
jeput
jera
jerabai
jerah
jerahak
jereket
jereng
jerepet
jeri
jernih
jerungkis
jidur
jijik
jinak
jinak-jinak
jompo
jongang
jonget
jorong
judes
juih
jujur
juling
jumbul
junior
junun
juvenil
kabihat
kabir-kabiran
kabur
kabut
kacak
kacau
kacau-balau
kacuk
kadastral
kadim
kadir
kadru
kafaah
kafah
kaget
kagok
kagum
kaifiah
kakek-kakek
kaku
kalap
kalbi
kaleidoskopis
kalem
kalengan
kaligrafis
kalis
kalut
kalut-malut
kamariah
kamilmukamil
kampungan
kancap
kangen
kanjal
kanjang
kanonis
kantang
kantar
kaotis
kapabel
kapitalistis
kapok
kaprah
karatan
karbolik
kardiak
kardiovaskular
karib
karitatif
karsinogenik
karut
karut-marut
kasang
kasap
kasar
kasatmata
kasep
kasim
kaswah
katadrom
katai
kategorial
kategoris
kausal
kaustik
kawak
kawakan
kaya
kayun
keabu-abuan
kearab-araban
keasinan
keasyik-asyikan
kebah
kebal
kebapakan
kebarat-baratan
kebas
kebasah-basahan
kebayi-bayian
kebayuan
kebebangan
kebelet
kebiri
kebiru-biruan
kebocahan
kebudak-budakan
kebuluran
kecabaian
kecai
kecapaian
kece
kecele
keceng
kecil
kecil hati
kecil-kecilan
kecil-mengecil
kecilan
kecit
kecokelat-cokelatan
kecokelatan
kecuh-kecah
kecut
kedah
kedaluwarsa
kedam
kedang
kedap
kedekut
kedempung
kedengkik
kedesa-desaan
kedik
kedikit
kedinginan
kedodoran
keedanan
kegadis-gadisan
kegatalan
kegenangan
kegerahan
kegila-gilaan
kegirang-girangan
kehausan
kehel
kehijau-hijauan
kehitam-hitaman
kehitaman
keibuan
keinggris-inggrisan
kejam
kejang
kejat
kejengkolan
keji
kejut
kekabur-kaburan
kekal
kekanak-kanakan
kekau
kekel
kekencangan
keki
kekoboi-koboian
kekok
kekudusan
kekuning-kuningan
kekuningan
kelabak
kelam
kelamaan
kelambur
kelang-kelok
kelasah
kelebek
keletah
kelewat
kelewatan
kelih
keliru
kelompang
kelop
kelu
kelumit
kelunturan
kelus
kelusuh-kelasah
kemahalan
kemal
kemalu-maluan
kemanja-manjaan
kemarah-marahan
kemarau
kemas
kemasam-masaman
kemasinan
kematu
kematus
kemayu
kembar
kembera
kembung
kemerah-merahan
kemik
kemilap
kempal
kempis
kempot
kempung
kemungkus
kencang
kencar
kencong
kendur
kental
kentara
kenteng
kenyal
kenyang
kenyat
kenyat-kenyut
kenyih
kenyir
kepagian
kepalang
kepam
kepancingan
kepecong
kepek
kepeningan
keperak-perakan
keperakan
kepialu
kepil
kepinggiran
kepot
kepucat-pucatan
keputih-putihan
keputihan
kerabik
keracak
kerajang
keramat
kerancak-rancakan
kerang-keroh
kerap
keras
kerasan
kerdil
kerekot
keremot
kerempeng
keren
kerendahan
keresot
kerimut
kering
kering-kering air
kerintil
kerisut
kerobak
kerobak-kerabit
kerobak-kerobik
keropos
kerot
kerotot
kersai
kersang
kertang
keruan
keruh
kerul
keruntang-pungkang
kes
kesakitan
kesal
kesangatan
kesat
kesempitan
kesemutan
kesip
kesohor
kesorean
kesut
ketai
ketak
ketam
ketang
ketar
ketat
ketegar
keterlaluan
ketial
ketua-tuaan
ketuaan
ketus
keungu-unguan
kewangi-wangian
kewangian
khafi
kharab
khas
khawatir
khayali
khidmat
khisit
khunsa
khusyuk
kiasi
kibang-kibut
kibir
kicik
kidal
kimiawi
kimput
kincup
kinetik
kinred
kipa
kirau
kisat
kisruh
kisut
kiting
kizib
klasik
klasikal
klerikal
klimis
klinis
klir
kliyengan
klop
koaksial
kocah-kacih
kocar-kacir
kodrati
koersif
kognat
kognatif
kognitif
kohesif
kohong
koinsiden
kojoh
kolateral
kolektif
koleng
koloidal
kolokan
kolonial
kolosal
komaran
kombor
komeng
komersial
komfortabel
komikal
kompak
komparatif
kompatibel
kompeten
kompetitif
komplementer
komplet
komprang
kompromistis
kompulsif
komunal
komunalistik
komunikatif
komunistis
kondang
kondusif
koneksitas
konform
konfrontatif
kongenital
konis
konjungtif
konkaf
konklusif
konkret
konotatif
konsekuen
konsekutif
konsepsional
konseptual
konservatif
konsesif
konsesional
konsisten
konspiratif
konstipasi
konstitusional
konstruktif
konsumtif
kontan
kontekstual
kontemplatif
kontemporer
kontet
kontinental
kontra
kontradiktif
kontraktual
kontraproduktif
kontras
kontraseptif
kontroversial
konveks
konvektif
konvensional
konyol
kooperatif
koordinat
koordinatif
kopel
kopet
kopulatif
kopyor
kordial
korektif
koreng
koreng-koreng
koreografis
koronal
korporat
korporatif
korsleting
korup
kosmetik
kosmologis
kosmopolitan
kosong
kotai
koteng
kotong
kotor
koyak-koyak
kram
kreditabel
kresendo
kribo
kriminal
kriminologis
kriofil
krisis
kristiani
kritis
krol
kromatis
kronis
kronologis
krusial
kuadripartit
kuadrupleks
kuadruplet
kualitatif
kuantitatif
kuarterner
kuasi
kuat
kuboid
kubra
kucak
kucam
kudung
kudus
kujur
kukuh
kultural
kumal
kumuh
kumulatif
kunar-kunar
kuno
kuntul
kuratif
kurikuler
kuring
kursif
kurus
kurusan
kusam
kusat-mesat
kusau
kusut
kutung
kuyu
kuyup
labas
labial
labil
labiodental
labiovelar
laboratoris
labuh
labut
lacak
lacur
ladung
lagau
laguh-lagah
lahab
lahap
lahiriah
laif
lain
lajang
laju
lakar
lakonik
lakustrin
lalah
lalai
lali
lama
lamban
lambat
lambat-lambat
lambuk
lampas
lampau
lampias
lamur
lanau
lancang
lancap
lancar
lancip
lancung
landai
landung
langgas
langgeng
langguk
langis
langkas
langking
langlai
langsai
langsam
langsar
langsing
langu
lanjai
lanjang
lanjar
lanjung
lanjur
lanjut
lantam
lapang
lapar
lapir
lapuk
larak
laram
larap
laringal
laris
larut
lasa
lasak
lasian
latah
laten
lateral
latur
laun
laur
lawah
lawak
layak
layu
lazim
lebam
lebang
lebar
lebat
lebih
lebur
lecak
lecap
lecat
leceh
lecek
lecet
leco
lecok
lecuh
lecur
ledung
lega
legal
legat
legislatif
legit
leha-leha
lejar
lejas
leka
lekak-lekuk
lekang
lekap
lekas-lekas
lekat
lekir
leksikal
leksikografis
lekuk
lelah
lelas
leler
leluasa
lemah
lemas
lemau
lembam
lembang
lembap
lembek
lembut
lemes
lempeng
lempung
lencang
lencir
lencong
lencun
lendung
lengah
lengai
lengang
lengar
lengas
lenggana
lenggang
lengkai
lengkang
lengkap
lengket
lengkok
lengkung
lentik
lentoid
lentok
lentuk
lenyah
lenyai
lenyak
lenyap
lenyau
lenyet
lepas
leper
lerai
lesa
leseh
lesi
lesu
leta
letai
letal
letih
letoi
leuca
leukositosis
lewah
leyot
liar
liat
liberal
licak
licau
licik
licin
lihai
likat
likuid
limbak
limfadenosis
limfatik
limitatif
limpap
limut
lincah
lincun
lindak
linear
lingar
lingat
linggayuran
linglung
linier
lintap
lintir
lintup
linu
liplap
lipu
liris
lisut
liturgis
liut
loba
lodoh
lohok
lokek
lokos
loksek
lompong
longgar
longgor
lonjong
lonjoran
lonsong
lontok
lonyok
lorat
lorek
loreng
losong
lota
lotak
lowong
loya
loyal
luak
luang
luar biasa
luas
luat
lucah
lucu
lugas
luhur
luks
lumat
lumayan
lumer
lumpuh
lumrah
lunak
luncai
luncung
luner
lungkah
lungkum
lunglai
lungse
lungsungan
luntur
lurus
lusuh
luti
luwes
luyu
mabul
mabul-mabul
macet
madang
madar
madi
magel
magis
magnetis
magribi
mah
Maha Esa
mahakuasa
mahal
mahamulia
mahardika
maharupa
mahatahu
mahir
majakaya
majal
majasi
majemuk
majir
majuh
makiyah
makmur
makro
makrosefalik
makruh
maksi
maksimal
malafide
malan
malang
malap
malar
malas
malasuai
malis
malu
malu-malu
mamai
mamang
mamik
mampu
manai
manajerial
mancung
mandiri
mandraguna
mandul
manggah
mangkak
mangkar
mangkir
mangkus
mangut
manipulatif
manis
manise
manja
manjur
mantan
mantap
manual
manusiawi
mapan
marah
marak
maras
marem
marginal
marine
marital
maritim
masa bodoh
masak
masam
masif
masin
masing-masing
masir
maskulin
massal
masyangul
masyhur
matang
matematis
materialistis
materiil
matriarkal
matrilineal
matrilokal
maujud
mayeng
mazarin
mbeling
medial
medikamentosa
medikolegal
medis
medisinal
medu
megah
megak
mejam
mekanis
melankolis
melantang
melar
melaut
melawas
melekang
melempem
melengah
melentik
melimpah
melingkar
melintah
melodius
melodramatik
melodramatis
meloya
meluah
meluar
meluat
melucut
memar
membaru
memesat
memper
memunjung
mencla-mencle
mencos
mencuat
mending
mendingan
mendunia
menegak
menganak sungai
mengentak-entak
mengetren
mengga
mengganda
menggeledek
menggendut
menggenting
menggerlip
menggerugut
mengot
mengung
menjabal
menor
mentah
mentereng
menyemak
menyembilu
menyeni
menyumbang
mepet
merakyat
merana
merdeka
merdesa
merdu
meres
meriang
merinding
merot
mersik
merubi
mesodermik
mesra
metabolik
metabolis
metaforis
metalik
metalurgis
metamorfis
meteorologis
metodis
metris
metronomis
midi
mikro
mikrobiologis
mikroskopis
militan
militeristis
minder
mineralogis
mini
minim
minimal
minus
miotik
miring
mirmekofag
misioner
misterius
mistis
mitologis
moblong
moderat
moderato
modern
modernisme
modifikatif
modis
modular
moksa
molek
molekuler
molos
momental
mondial
mondok
moneter
mongoloid
monofag
monogam
monokarpa
monoklin
monoklinal
monokromatis
monolingual
monolitik
monoploid
monopolistik
monoton
montok
monumental
monyos
moralistis
morat-marit
morfemis
morfofonemis
moril
motorik
muak
mual
muas
muasir
mubah
mubarak
mubazir
mubut
muda
mudah
mufakat
muhal
mujarab
mujur
mukhlis
muktabar
muktamad
mulas
mulia
multibahasa
multidimensi
multidisipliner
multifaset
multifungsi
multiguna
multilateral
multilingual
multinegara
multipara
multipel
multipleks
multirasial
multiseluler
multivalen
muluk-muluk
mulus
mumbung
mumuk
mumut
munafik
mungil
mungkar
mungut
munjung
murah
murahan
muram
murni
murung
musikal
musikologis
muskil
mustahak
mustahil
mustaid
mustajab
mustakim
mutakadim
mutakhir
mutlak
nabati
nadir
naif
naim
najis
nakal
naluriah
nanang
nanar
naqli
naratif
nasal
nasional
nasionalistis
nativistik
natural
naturalistis
naturopatis
nautik
nautikal
necis
negatif
negativistik
nek
nekat
nekat-nekat
nekrofagus
neofeodalistis
neoklasik
neositosis
neritik
neritopelagik
nestapa
neto
netral
neural
neuralgia
neurologis
neurotik
ngakngikngok
ngebet
ngeri
ngilu
nifak
nihil
nikmat
niraksara
nirgagasan
nirguna
nirlaba
nirleka
nirselera
nisbi
niskala
nista
nitrofili
nokturia
nokturnal
nominal
nonagresi
nonaktif
nonblok
nondepartemental
nonformal
nong-nong
nonintervensi
nonkimia
nonkonvensional
nonkooperatif
nonmedis
nonmiliter
nonong
nonpatogenik
nonpredikatif
nonsilabis
nonstandar
nonstop
nonteknis
nontradisional
norak
normal
normatif
nuklir
numerik
numeris
nuraga
nurani
nuriah
nyalang
nyaman
nyamleng
nyanyar
nyanyuk
nyarik
nyaring
nyata
nyelekit
nyenyai
nyenyat
nyenyep
nyeri
nyinyir
nyonyeh
nyonyor
objektif
oblak
obsesif
obsolet
odoh
ogah-agih
ogak-agik
oklusif
okok
oksiasetilena
oktal
okuler
olahan
olang-aling
oleng
oligofagus
oligopolistis
om swastiastu
oncer
ongahangih
ongeh
onkogen
opalesen
operasional
operatif
oportunistis
opsional
optik
optimal
optimistis
optimum
optis
orak-arik
oral
oratoris
ordinal
ordiner
organik
organis
organisatoris
orgasmik
oriental
orisinal
orisinalitas
ornamental
ornitologis
orografis
ortodoks
ortografis
ortopedis
osmoregulasi
otomatis
otomotif
otonom
otoriter
oval
ovenan
oyong
pacak
padam
padu
pagan
pagon
pahit
pailit
pajuh
pakem
palatal
paleografis
paleolitik
pales
paling-paling
palsu
pampat
panas
panas-panas
pandai
pandak
pandialektal
pandir
pangkai
pangus
panik
panjang
pankromatis
pankronis
panlektal
pantas
panteistis
papa
papak
papar
paradigmatis
paradoksal
parah
paralel
paralinguistis
paralitis
paramiliter
paranoid
paranormal
parataktis
parau
parenial
parental
paripurna
parlementer
parokial
partitif
pas-pasan
pasai
pascabedah
pascadoktoral
pascakawin
pascakrisis
pascalahir
pascalarva
pascamodern
pascamodernisme
pascaoperasi
pascapanen
pascaproduksi
pascareformasi
pascasarjana
pascausaha
pascayuwana
pasif
pasim
pastoral
patah
paternalistis
patetis
patih
patirasa
patogenik
patologis
patrilineal
patriotik
patuh
patut
payah
